name,fullName,parkCode,parkID,designation,description,latitude,longitude,city,stateCode,postalCode,activities
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,Hodgenville,KY,42748,Astronomy
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,Hodgenville,KY,42748,Stargazing
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,Hodgenville,KY,42748,Food
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,Hodgenville,KY,42748,Picnicking
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,Hodgenville,KY,42748,Guided Tours
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,Hodgenville,KY,42748,Self-Guided Tours - Walking
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,Hodgenville,KY,42748,Hands-On
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,Hodgenville,KY,42748,Junior Ranger Program
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,Hodgenville,KY,42748,Wildlife Watching
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,Hodgenville,KY,42748,Birdwatching
